BURGLARY OF VEHICLE,14437
THEFT,14192
FAMILY DISTURBANCE,8188
CRASH/LEAVING THE SCENE,8059
CRIMINAL MISCHIEF,7390
BURGLARY OF RESIDENCE,6305
PUBLIC INTOXICATION,5460
HARASSMENT,5257
DWI,4660
CUSTODY ARREST TRAFFIC WARR,4524
ASSAULT W/INJURY-FAM/DATE VIOL,4185
LOST PROP,3679
WARRANT ARREST NON TRAFFIC,3394
DISTURBANCE - OTHER,3349
CRIMINAL TRESPASS,3306
REQUEST TO APPREHEND,3092
POSS MARIJUANA,2963
ASSAULT WITH INJURY,2434
AUTO THEFT,2322
BURGLARY NON RESIDENCE,2114
DRIVING WHILE LICENSE INVALID,1932
EMERGENCY PROTECTIVE ORDER,1911
POSS OF DRUG PARAPHERNALIA,1530
POSS CONTROLLED SUB/NARCOTIC,1502
THEFT BY SHOPLIFTING,1494
ASSAULT BY CONTACT,1441
SUSPICIOUS PERSON,1426
FOUND PROPERTY,1409
CRIMINAL TRESPASS/TRANSIENT,1350
ABANDONED VEH,1307
IDENTITY THEFT,1275
VIOL CITY ORDINANCE - OTHER,1231
THEFT OF BICYCLE,1162
DEBIT CARD ABUSE,1131
TERRORISTIC THREAT,1047
VOCO SOLICITATION PROHIBIT,988
IMPOUNDED VEH,955
THEFT OF SERVICE,933
CRED CARD ABUSE - OTHER,877
ASSAULT INFORMATION,847
ASSAULT BY THREAT,816
FORGERY AND PASSING,805
PEDESTRIAN ON ROADWAY,804
FRAUD - OTHER,790
THEFT INFORMATION,748
AGG ASSAULT,731
GRAFFITI,728
ASSIST COMPLAINANT,677
BURGLARY INFORMATION,653
VIOL OF COURT ORDER-NON EPO-PO,637
TRAFFIC HAZARD/DEBRIS,630
UNAUTHORIZED USE OF VEH,619
THEFT FROM AUTO,610
CRED CARD ABUSE BY FORGERY,594
VIOL STATE LAW - OTHER,583
AGG ROBBERY/DEADLY WEAPON,580
PROTECTIVE ORDER,555
DATING DISTURBANCE,554
DWI 2ND,539
VOCO - ALCOHOL  CONSUMPTION,508
DEL CONTROLLED SUB/NARCOTIC,489
PARKING VIOLATION,487
CRIMINAL MISCHIEF INFORMATION,450
ASSAULT BY CONTACT FAM/DATING,437
AGG ASSAULT FAM/DATE VIOLENCE,435
THEFT OF METAL,433
FELONY ENHANCEMENT/ASSLT W/INJ,432
FAILURE TO IDENTIFY,430
DAMAGE CITY PROP,422
ROBBERY BY ASSAULT,422
TEMP EX PARTE  ORDER,419
COUNTERFEITING,399
BURGLARY OF VEH INFORMATION,397
THEFT OF LICENSE PLATE,377
FIREARMS,363
MISSING ADULT,350
VOCO AMPLIFIED MUSIC/VEHICLE,340
CRASH/NO INJURY,322
DEATH DUE TO NATURAL CAUSES,321
AUTO THEFT INFORMATION,320
CRUELTY TO ANIMALS,316
THEFT OF AUTO PARTS,315
VIOL OF PROTECTIVE ORDER,313
FALSE BURGLAR ALARM,309
AGG ASLT STRANGLE/SUFFOCATE,308
FOUND CONTROLLED SUBSTANCE,302
PROSTITUTION,300
SUSPICIOUS VEH,293
DRIVING WHILE INTOX / FELONY,292
CRASH/CITY VEHICLE,275
CAREER CRIMINAL UNIT,274
THEFT FROM PERSON,267
TERRORISTIC THREAT-FAM/DAT VIO,254
REQUEST TO LOCATE,245
VIOL CITY ORDINANCE - WRECKER,244
VIOL OF CAMPING ORDINANCE,229
APPLIC TO REVOKE PROBATION,229
RAPE,227
FAMILY DISTURBANCE/PARENTAL,226
TRAFFIC VIOL/OTHER,224
APPLICATION FOR PERMIT OR LIC,223
CRASH/FAIL STOP AND RENDER AID,215
DOC FIGHTING,213
URINATING IN PUBLIC PLACE,210
VIOL OF EMERG PROTECTIVE ORDER,209
JUNKED/NUISANCE VEHICLE,205
ROBBERY INFORMATION,203
ASSIST EMS,202
FORGERY BY MAKING,194
VIOL CITY ORDINANCE - DOG,191
HARASSMENT ONLINE,189
THEFT OF VEHICLE/OTHER,188
ABAND VEH  (STORAGE FACILITY),185
CRIMINAL TRESPASS/HOTEL,184
ANIMAL BITE,174
OUT OF CITY AUTO THEFT,171
REGISTERED SEX OFFENDER,170
INDECENT EXPOSURE,168
DECEASED PERSON,160
LIQUOR LAW VIOLATION/OTHER,151
UNLAWFUL CARRYING WEAPON,147
RECKLESS DRIVING,145
ROAD RAGE,144
CRIMINAL TRESPASS NOTICE,143
SEXUAL ASSAULT,141
EVADING / FOOT,140
RECKLESS DAMAGE,137
LITTERING,136
ASSIST OTHER POLICE AGENCY,134
POSS OF ALCOHOL - AGE 17 TO 20,129
ASSAULT BY THREAT FAM/DATING,127
FORGERY - OTHER,126
STALKING,117
REG. SEX OFFENDER INFORMATION,116
ASSAULT INFO (FAMILY VIOLENCE,115
VOCO SIT/LIE/RIDE DTA WALKWAY,111
POSS CONTROLLED SUB/OTHER,111
SALVAGE INSPECTION,111
FEDERAL VIOL/OTHER,110
POSS DANG DRUG,110
BURGLARY OF COIN-OP MACHINE,110
EVADING VEHICLE,109
AGG ASSAULT WITH MOTOR VEH,108
ROBBERY BY THREAT,101
PAROLE VIOL,99
SEXUAL ASSAULT INFORMATION,99
HIGH SPEED ROADWAY HAZ/DEBRIS,97
OBTAIN CONTROLLED SUB BY FRAUD,95
DOC UNREASONABLE NOISE,95
ACCIDENTAL DRUG OVERDOSE,94
VIOL OF PARK CURFEW,94
THEFT BY CHECK,93
ACCIDENTAL DEATH,93
OPEN DOOR/WINDOW,92
POSS OF PROHIBITED WEAPON,91
BREACH OF COMPUTER SECURITY,88
DANGEROUS ANIMAL,86
SUICIDE,86
FALSE ALARM OR REPORT,84
ACCIDENTAL INJURY,84
COUNTERFEITING INFORMATION,82
POSS CONTROLLED SUB/SYN NARC,79
ASSAULT ON PUBLIC SERVANT,78
CRASH/PRIVATE PROPERTY,78
PARKING CITATION,77
FOUND FIREARMS,74
ARSON,74
DEADLY CONDUCT,68
DUI - AGE 17 TO 20,67
RESISTING ARREST OR SEARCH,66
EXPLOSIVE ORDNANCE DISPOSAL,66
HINDER SECURED CREDITORS,64
DOC EXPOSURE,63
AGG ASLT ENHANC STRANGL/SUFFOC,59
STRUCTURE FIRE,56
DOC ABUSIVE LANGUAGE,53
IMPOUNDED ANIMAL,52
EVADING / VEHICLE PURSUIT,52
DOC DISPLAY FIREARM-PUB PLACE,51
FORCED SODOMY,51
POSS OF FIREARM BY FELON,50
CRASH/AUTO VS PEDESTRIAN,50
GAMBLING,49
FAILURE TO REG AS SEX OFFENDER,49
FALSE REPORT TO PEACE OFFICER,48
BURG OF RES - FAM/DATING ASLT,48
NUISANCE ABATEMENT,48
FICTITIOUS LICENSE PLATE,47
AUTO SALVAGE DEALERS,47
CRASH/SERIOUS BODILY INJURY,47
DOC WINDOW PEEPING-RESIDENCE,47
CIVIL DISTURBANCE/DEMO,44
AIRPORT - FEDERAL VIOL,44
ABANDONED PROP,40
FALSE STATEMENT -OBTAIN CREDIT,38
PUBLIC LEWDNESS,37
THEFT FROM BUILDING,36
SHOTS FIRED,36
NO DRIVERS LICENSE,36
BLOCKED DRIVE/ROADWAY,34
OUT OF CITY SEXUAL ASSAULT,34
AGG ASLT W/MOTOR VEH FAM/DAT V,34
VEHICLE FIRE,33
BOMB THREAT,32
INTER EMERG PHONECALL FAM/DATE,32
BURGLAR ALARM,30
IMPERSONATING PUBLIC SERVANT,29
OTHER FIRE,29
METRO TAC REG 3,29
WEAPON VIOL - OTHER,28
TAMPERING WITH EVIDENCE,28
FORGERY BY ALTERATION,27
PROWLER,27
AIRPORT PLACES WEAPON PROHIBIT,27
ASSIST CITY DEPT/OTHER,27
THEFT OF HEAVY EQUIPMENT,26
NON HAZ TRAFFIC CITATION,26
LOST LICENSE PLATE,25
ABANDONED VEH/GARAGEKEEPER,25
THEFT BY EMBEZZLEMENT,25
INJ TO ELDERLY   FAM/DATE VIOL,24
STALKING INFORMATION,24
DOC DISCHARGE GUN - PUB PLACE,24
CRASH/FATALITY,24
KIDNAPPING,23
DRIVERS LICENSE VIOL/OTHER,23
OUT OF CITY OFFENSE,23
ASSIST MOTORIST/PUBLIC,23
INTERFER PUBLIC DUTIES,22
FORGERY OF IDENTIFICATION,22
SEX OFFENDER COMPLIANCE CHECK,21
AGG ROBBERY BY ASSAULT,21
DOC OFFENSIVE GESTURE,20
INJURY DISABLED INDIVIDUAL,20
ARSON INFORMATION,20
TAMPERING WITH GOV RECORD,19
AGG RAPE,19
ESCAPE FROM CUSTODY,18
ASSIST FIRE DEPT,18
CRASH/INTOXICATION ASSAULT,18
UNLAWFUL RESTRAINT,18
CRIMINAL MISCHIEF BY ARSON,18
DUMPING REFUSE NEAR HIGHWAY,18
FICTITIOUS DRIVERS LICENSE/ID,17
CRASH/AUTO VS BICYCLE,17
MULTIPLE TRAFFIC VIOL,17
HARASSMENT OF A PUBLIC SERVANT,17
FICTITIOUS INSPECTION STICKER,16
INTERFERING W/EMERG PHONE CALL,16
FALSE ROBBERY ALARM,15
VIOL VEH REGISTRATION - OTHER,15
INJ TO DISABLED  FAM/DATE VIOL,15
INJURY TO ELDERLY PERSON,14
DEL MARIJUANA,14
HOMICIDE INFORMATION,14
PROBATION VIOL,14
PIGEON DROP,13
DEL CONTROLLED SUB/OTHER,13
INTERFER W/PO SERVICE ANIMALS,13
FOUND LICENSE PLATE,13
AIRPORT INFORMATION,13
CRASH/EMS,13
